sampleid,sample_type,study,transit,swab_type,filter_type,location,boat,time,collection_order
c25t4post,openwater,ChesapeakeBay,four,nonswab,post,Norfolk,Lookdown,NA,transit4_3
c25t4pre,openwater,ChesapeakeBay,four,nonswab,pre,Norfolk,Lookdown,NA,transit4_3
c26t2bf,boat,ChesapeakeBay,two,bilgebiofilm,nonfilter,Norfolk,Callinectes,NA,transit2_2
c26t2bw,boat,ChesapeakeBay,two,bilgewater,nonfilter,Norfolk,Callinectes,NA,transit2_2
c26t2hull,boat,ChesapeakeBay,two,hull,nonfilter,Norfolk,Callinectes,NA,transit2_2
c26t2post,openwater,ChesapeakeBay,two,nonswab,post,Norfolk,Callinectes,NA,transit2_2
c26t2pre,openwater,ChesapeakeBay,two,nonswab,pre,Norfolk,Callinectes,NA,transit2_2
c26t2rear,boat,ChesapeakeBay,two,rear,nonfilter,Norfolk,Callinectes,NA,transit2_2
c26t4bf,boat,ChesapeakeBay,four,bilgebiofilm,nonfilter,Norfolk,Lookdown,NA,transit4_2
c26t4bw,boat,ChesapeakeBay,four,bilgewater,nonfilter,Norfolk,Lookdown,NA,transit4_2
c26t4hull,boat,ChesapeakeBay,four,hull,nonfilter,Norfolk,Lookdown,NA,transit4_2
c26t4post,openwater,ChesapeakeBay,four,nonswab,post,Norfolk,Lookdown,NA,transit4_2
c26t4pre,openwater,ChesapeakeBay,four,nonswab,pre,Norfolk,Lookdown,NA,transit4_2
c26t4rear,boat,ChesapeakeBay,four,rear,nonfilter,Norfolk,Lookdown,NA,transit4_2
c27t2bf,boat,ChesapeakeBay,two,bilgebiofilm,nonfilter,Norfolk,Callinectes,NA,transit2_1
c27t2bw,boat,ChesapeakeBay,two,bilgewater,nonfilter,Norfolk,Callinectes,NA,transit2_1
c27t2hull,boat,ChesapeakeBay,two,hull,nonfilter,Norfolk,Callinectes,NA,transit2_1
c27t2post,openwater,ChesapeakeBay,two,nonswab,post,Norfolk,Callinectes,NA,transit2_1
c27t2pre,openwater,ChesapeakeBay,two,nonswab,pre,Norfolk,Callinectes,NA,transit2_1
